mainstem,head,out,provider
2290792,5862697,5863827,2
2290857,5866683,5868233,2
2290910,5866393,5867739,2
2291303,5867069,5867753,2
2290957,5866639,5866655,2
2291318,5867003,5867559,2
2291592,5863765,5863879,2
2291883,5866915,5863919,2
2291702,5860487,5860941,2
2291973,5876081,5876319,2
2292211,5875589,5876789,2
2292344,5879123,5879063,2
2292360,5879087,5878623,2
2292379,5878855,5878625,2
2292399,5879103,5878883,2
2292416,5879111,5878903,2
2292438,5879125,5881821,2
2292452,5881701,5881881,2
2292462,5881379,5884531,2
2292394,5879079,5878863,2
2294221,6116214,6119064,2
2294101,6117234,6134087,2
2294339,6117224,6117294,2
2294356,6115812,6116226,2
2294366,6115608,6117316,2
2294227,6117262,6116164,2
2294226,6116414,6116430,2
2294493,6119078,6118926,2
2292972,6125149,6130319,2
2293094,6126625,6134107,2
2293222,6126619,6126609,2
2293132,6123971,6123737,2
2293757,6129569,6130363,2
2294191,6128201,6134059,2
2294181,6128357,6134065,2
2294458,6128611,6128893,2
2293856,6129257,6130475,2
2292991,6125361,6129905,2
2293028,6125209,6128297,2
2293024,6125721,6126423,2
2293214,6126647,6126429,2
2294372,6128499,6130347,2
2294243,6129707,6129057,2
2294546,6129097,6130453,2
2293285,167237342,6126641,2
2293069,167237343,6128009,2
2295882,6140040,6141214,2
2295932,6139980,6140830,2
2295898,6139946,6140894,2
2295940,6140036,6140906,2
2296278,6140136,6141190,2
2296404,6146961,6151645,2
2296554,6149125,6149061,2
2296673,6147795,6148505,2
2296518,6145105,6148737,2
2296824,6151623,6148877,2
2296846,6151463,6148651,2
2296473,6144219,6148413,2
2296542,6144259,6144475,2
2296551,6149753,6148875,2
2296745,6147821,6146931,2
2296384,6159813,6170754,2
2296511,6162327,6163167,2
2296778,6159845,6162929,2
2296896,6163337,6163127,2
2297029,6162391,6163117,2
2296722,6162449,6163351,2
2296741,6163307,6163239,2
2297092,6163313,6163363,2
2296903,6159847,6162919,2
2296345,6168730,6168954,2
2296568,6168286,6168546,2
2298553,166171749,6170768,2
2296625,6167096,6171778,2
2296613,25075733,6171780,2
2298793,6178370,6178200,2
2298855,6177820,6178248,2
2298956,6177182,6177936,2
2299056,6177856,6178290,2
2299090,6178376,6177670,2
2299344,6174652,6178614,2
2299389,6176954,6178140,2
2299371,6176934,6178272,2
2299409,6176932,6174434,2
2299148,6181210,6181312,2
2299288,6177086,6178292,2
2299653,7709720,7718580,2
2299985,25076398,7710078,2
2300107,7710522,7710202,2
2300055,7709180,7709674,2
2300093,7709704,7709670,2
2299959,7710482,7710200,2
2299900,7717598,7718502,2
2299938,7717538,7718180,2
2299857,7717216,7714494,2
2300031,7713078,166182150,2
2299972,7713506,7711874,2
2300142,7710526,7710072,2
2300091,7709988,7710018,2
2300512,7710036,7710228,2
2300026,7710560,7711972,2
2299848,7710244,7713688,2
2300088,7712040,7712390,2
2299994,7712972,7712600,2
2299991,25076364,7722640,2
2300183,7712550,7713018,2
2299814,7712240,7718100,2
2299925,7712286,7712684,2
2299860,7712782,7718160,2
2300129,7712776,7713138,2
2299751,7711982,7722738,2
2299920,25076356,7713190,2
2300121,7712290,7712624,2
2300014,7712588,7713700,2
2302585,7734095,7732095,2
2303833,7731575,7733789,2
